,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSTGUG00000008284,139.53268786413645,-0.32275312445519677,0.06878953537806605,-4.691892781094558,2.706889857294931e-06,1.534352264691109e-05
ENSTGUG00000003938,35.96724460109893,0.0042794258640249366,0.12487862696007337,0.03426868126435414,0.9726628989247952,0.9862755534174643
ENSTGUG00000011987,823.6870549965649,-0.07170011843544415,0.06413538591862825,-1.1179494347537513,0.2635885900424697,0.4157784649859295
ENSTGUG00000017592,7.233779295122711,-0.47657863637986714,0.19117678906795868,-2.4928687143628876,0.012671568956492917,0.033107712360540845
ENSTGUG00000009442,244.10858053997617,0.0005835217891269647,0.0657223879324447,0.008878584717992294,0.9929160074028461,0.9959986943217349
ENSTGUG00000009764,92.5820501317835,-0.8361011195654635,0.12353460731226622,-6.768152971515083,1.3043680802239725e-11,1.5663393412170623e-10
ENSTGUG00000015152,50.0084552757403,0.05135881620099193,0.12216290816952764,0.420412521038877,0.6741841227355793,0.8011980499063323
ENSTGUG00000002407,385.6337749517211,-0.40936396088623167,0.0942040857530214,-4.345501127833006,1.3895805792381128e-05,6.969882202364805e-05
ENSTGUG00000016201,0.1937541346450066,-0.047677537935173805,1.0718539558205877,-0.04448137516894541,0.9645206977433318,0.9819531764659224
ENSTGUG00000004296,5148.869787428226,0.2703134860630429,0.06729541589157578,4.0168187161301345,5.8989066747990084e-05,0.00026484760854551185
ENSTGUG00000003903,253.15654383365774,-0.003276377903136091,0.0675302287779663,-0.04851720425690465,0.9613040535732729,0.980251927195184
ENSTGUG00000013480,1545.6226898168115,-0.0639683407136157,0.041280927359105615,-1.5495858452294622,0.1212409525142848,0.2240105816632081
ENSTGUG00000008626,392.9683006266437,-0.777090020282999,0.05139793172137143,-15.11909126024,1.2120364910025564e-51,3.9913293984476494e-49
ENSTGUG00000014195,0.20751812874628184,0.4711090283462465,1.2444381030524356,0.3785716840320791,0.7050059525986684,0.8240066843423383
ENSTGUG00000013178,56.93325811904072,-0.08878592045105066,0.07726580572726174,-1.1490971926760645,0.250515905862127,0.3999099815403247
ENSTGUG00000000082,618.6945559817681,0.00030144720950090685,0.03030481156153143,0.009947173203464508,0.9920634349597706,0.9955622095400423
ENSTGUG00000013526,17.547390957851363,0.3749332705657312,0.1850452837876393,2.026170367011408,0.04274732917389656,0.094684421779046
ENSTGUG00000001170,172.54994107818254,-0.07373431016800774,0.13381640030673986,-0.5510110120956079,0.5816261256841451,0.7307238280422084
ENSTGUG00000006732,0.006278819678255145,-0.03456818227817342,3.572982784142376,-0.009674880727551793,0.9922806824656862,
ENSTGUG00000002439,184.42151812063878,-0.47687622360429166,0.16683372682879863,-2.8583922008386966,0.004257937550767734,0.012600429739066532
ENSTGUG00000000429,283.5878519982134,0.4244142373537849,0.07696099662833246,5.51466659668413,3.4944175931639916e-08,2.6210427886701795e-07
ENSTGUG00000008399,284.5652204551043,-0.09264013036123439,0.05240513610228072,-1.76776814738971,0.0770996719815973,0.1553058208461207
ENSTGUG00000006494,1.4122400825692165,-0.6992630829712371,0.3552572122213243,-1.968329027295294,0.04903019215307301,0.10643927617003325
ENSTGUG00000011456,431.18477130137666,-0.28525133996435,0.037826996597015584,-7.540946033945907,4.66574183144149e-14,7.609158392533722e-13
ENSTGUG00000014422,0.14966163638333463,-0.7573662215881782,1.7368005669492492,-0.4360697687464016,0.6627861103384516,0.7928431263315155
ENSTGUG00000012724,550.09378038364,-0.23890297964537546,0.043861335534520575,-5.446778506262071,5.129026700350157e-08,3.745392461270622e-07
ENSTGUG00000001792,668.248842980098,0.08122886309595487,0.039264739447251305,2.0687483029163767,0.0385697119211085,0.08693796853192866
ENSTGUG00000013981,0.15489558931862416,0.08493310027882364,1.537469698727829,0.05524212955162699,0.9559455656308808,0.9776761639759636
ENSTGUG00000003712,232.08495329315326,-0.12850128055468057,0.08028387089308917,-1.600586507915153,0.10946853254181357,0.20644704308876824
ENSTGUG00000016003,25.259418014968684,0.20096444260702775,0.2316869505086859,0.8673964682335168,0.3857248163001096,0.5509802931534098
ENSTGUG00000001841,627.1317766924992,0.15523470668786427,0.025923476651932096,5.98819011709583,2.12188949724227e-09,1.8765036916078998e-08
ENSTGUG00000011649,0.0,,,,,
ENSTGUG00000016859,151.37136025348718,0.05026441577007887,0.05127434542981507,0.9803034119447004,0.3269363710270362,0.48792560723958234
ENSTGUG00000009831,1690.1580505694617,0.042076065619794614,0.05676679426046302,0.7412091200136659,0.45856665452484846,0.621536757328123
ENSTGUG00000002975,1873.2255370503196,-0.09786081388417656,0.03290665123803747,-2.973891605568702,0.002940489283693615,0.009088978067503514
ENSTGUG00000014225,0.007531457914458831,0.029551421651672106,3.5714479551043024,0.008274353154002231,0.9933980967010074,
ENSTGUG00000005187,98.05050610556556,0.12374635258889331,0.07391690715081697,1.6741278465075171,0.09410547609471906,0.18264333816683317
ENSTGUG00000011992,55.32117712909005,-0.2337028407912895,0.0923553027233277,-2.5304756077883477,0.011390800478593302,0.030185092447451517
ENSTGUG00000012303,17.575106657408504,0.03246863939301638,0.12116694647324248,0.26796614372209576,0.7887253793603253,0.8802959375484529
ENSTGUG00000009755,0.07971857404006612,0.02372684615912134,2.280985807129093,0.010402013938431539,0.9917005433470273,
ENSTGUG00000005172,0.3194251881481791,-0.12071992705301958,0.7804830886762503,-0.15467334117100265,0.8770788476962847,0.9349538214611044
ENSTGUG00000009791,168.09563940871075,0.141679713669163,0.07954609797308661,1.7811019934264842,0.0748957901554028,0.15161549954144907
ENSTGUG00000016495,68.24429099298543,-0.35155896910747997,0.13216799208802074,-2.659940304407061,0.007815450213556728,0.021669651790308515
ENSTGUG00000013068,22.615035002233686,-0.4487201464012262,0.1589040836610482,-2.8238427613878874,0.004745165783921524,0.013899455847395173
ENSTGUG00000004797,2693.801657915414,0.2316324626051167,0.03591481623214042,6.449495971465591,1.1222274324667074e-10,1.1877022591816995e-09
ENSTGUG00000009542,341.7975902685842,-0.28562815675760805,0.05553784439506168,-5.142946397519986,2.7046280937092867e-07,1.7758455320812048e-06
ENSTGUG00000003134,1397.1137924232212,-0.11240173302140401,0.03359414343140085,-3.345872867719578,0.0008202399411741774,0.00291524616279439
ENSTGUG00000003945,5059.2096949365105,-0.1319584847806075,0.033434525309579084,-3.9467730903540312,7.921156225271814e-05,0.00034753235767756737
ENSTGUG00000017534,125.65856429501488,0.493199644065748,0.28752526805688244,1.7153262647099803,0.08628542574754422,0.1701464337288055
ENSTGUG00000013705,60.77893970574707,0.05772728271389602,0.17384140414019458,0.3320686633855177,0.7398374117853529,0.8478201056958029
ENSTGUG00000000500,148.21338688689818,-0.23810431068701132,0.06637489470551435,-3.587264608756207,0.00033416516867966576,0.0012969728804330454
ENSTGUG00000010463,1012.9231828798723,-0.23876358771651648,0.030576588727681302,-7.808705864574138,5.777816167879978e-15,1.0370998329012237e-13
ENSTGUG00000012454,186.58489036207885,-0.0865473403997188,0.062470764558097296,-1.3854054934645548,0.16592851218038474,0.2892263683404833
ENSTGUG00000013046,1348.895141536119,-0.027623407986229757,0.07101849417880043,-0.3889607672711759,0.6973051687608449,0.8183013781428665
ENSTGUG00000010039,347.6941515754558,-0.13944459782381854,0.036125824558009986,-3.859969966911115,0.00011340096171247103,0.00048214851430082036
ENSTGUG00000013833,3.5522059260081598,0.45738420609577474,0.40619304871217976,1.1260266701901833,0.2601542306259015,0.41165043848068167
