,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSTGUG00000008284,139.53268786413645,-0.009501252347043233,0.0822095023774482,-0.11557365112636452,0.9079904462953079,0.97570577686218
ENSTGUG00000003938,35.96724460109893,-0.26374079820672497,0.13853458375000693,-1.9037903104589347,0.05693749897321634,0.34563496437999824
ENSTGUG00000011987,823.6870549965649,-0.006003427354524736,0.07276276634574762,-0.08250685970346684,0.9342436636804954,0.9818339753694638
ENSTGUG00000017592,7.233779295122711,-0.18458289473680917,0.2415025040305656,-0.7643104798343935,0.4446822416445022,0.7824392107492227
ENSTGUG00000009442,244.10858053997617,-0.08815340301134046,0.07392253954447715,-1.1925104785976812,0.23306114450040072,0.6108613088858761
ENSTGUG00000009764,92.5820501317835,-0.19988033843870331,0.1619586471940926,-1.234144282516543,0.21714914503736604,0.5927775814724452
ENSTGUG00000015152,50.0084552757403,0.21893663686829543,0.13274863080066682,1.649257213033309,0.09909495129534233,0.4363180240981196
ENSTGUG00000002407,385.6337749517211,-0.046112878961405715,0.17245068837260696,-0.2673974769052331,0.7891631418763884,0.9436649233958923
ENSTGUG00000016201,0.1937541346450066,-0.3313121882599237,1.239630439287886,-0.26726690290877997,0.7892636677844074,
ENSTGUG00000004296,5148.869787428226,0.08041706818742929,0.07980461693699129,1.0076743836878705,0.31361080650856976,0.6922398965168022
ENSTGUG00000003903,253.15654383365774,0.06203532059075903,0.07631121702473197,0.8129253209348475,0.4162608759833867,0.764104389308839
ENSTGUG00000013480,1545.6226898168115,0.03726684043833018,0.04640723515579584,0.8030394466125804,0.4219519351126284,0.7679012430239803
ENSTGUG00000008626,392.9683006266437,-0.07410564874151922,0.0989276299500093,-0.7490894988484685,0.4538032639130357,0.7881894972738874
ENSTGUG00000014195,0.20751812874628184,-1.1969343682851428,1.398935381927164,-0.8556037567912923,0.39221699124942444,
ENSTGUG00000013178,56.93325811904072,-0.04471939726989944,0.08631415075299666,-0.5181004143558333,0.6043882111659675,0.8671409345543969
ENSTGUG00000000082,618.6945559817681,0.050003550611706735,0.03499232173435025,1.4289863642463227,0.15300815265809192,0.5181208835819741
ENSTGUG00000013526,17.547390957851363,-0.21849677982951077,0.21481444095681618,-1.0171419521718041,0.3090859054757671,0.6885967587506978
ENSTGUG00000001170,172.54994107818254,-0.2839043596350267,0.14710012861891245,-1.930007555401454,0.0536059016100571,0.3385083515827853
ENSTGUG00000006732,0.006278819678255145,0.005307321567030604,4.0008040695819584,0.0013265637293718214,0.9989415555918498,
ENSTGUG00000002439,184.42151812063878,-0.48335051327829676,0.1845870638631882,-2.6185503098773233,0.008830426935399946,0.14247637024892582
ENSTGUG00000000429,283.5878519982134,0.089225616708409,0.09548389699843102,0.9344572175334983,0.35006809478824896,0.7210804424749984
ENSTGUG00000008399,284.5652204551043,0.034113107121447606,0.06165752052154794,0.5532675792489228,0.5800801978055654,0.8572882657338063
ENSTGUG00000006494,1.4122400825692165,-0.2676584463016159,0.3864679800609955,-0.6925759962296796,0.48857567843867344,0.8088432808975847
ENSTGUG00000011456,431.18477130137666,-0.04687868507741909,0.0552983357232666,-0.8477413373165049,0.39658203955809523,0.7509849799557834
ENSTGUG00000014422,0.14966163638333463,-0.006134758617980886,2.010454636625801,-0.0030514285208031416,0.9975653160731696,
ENSTGUG00000012724,550.09378038364,-0.03825455637950351,0.054634633229050496,-0.7001887652311113,0.483809426863139,0.806525366002243
ENSTGUG00000001792,668.248842980098,0.04345836723476555,0.04855528163305932,0.8950286307303903,0.3707717832156563,0.7339798643155346
ENSTGUG00000013981,0.15489558931862416,0.08088428008762331,1.7940558079784021,0.04508459532190709,0.9640398800893119,
ENSTGUG00000003712,232.08495329315326,-0.37589824523259674,0.09285641743497318,-4.048166573902511,5.162040470042843e-05,0.008657774276355857
ENSTGUG00000016003,25.259418014968684,-0.2691153429698588,0.2571464879610148,-1.0465448900498246,0.2953095307112944,0.6761161814077205
ENSTGUG00000001841,627.1317766924992,0.04100079262363771,0.037599587544695154,1.0904585741771633,0.27551119191962326,0.6577756172065368
ENSTGUG00000011649,0.0,,,,,
ENSTGUG00000016859,151.37136025348718,0.0025560974145284777,0.056482563826036364,0.045254628001680966,0.9639043519685909,0.9903073805230634
ENSTGUG00000009831,1690.1580505694617,0.027956191788803274,0.06278027626985826,0.4453021466269886,0.6561014167793393,0.8917082221862027
ENSTGUG00000002975,1873.2255370503196,0.0686792705805596,0.041578564588382445,1.65179513195002,0.09857632141585684,0.43571961899029665
